studentnummer;datum;antwoord;toelichting
100000;2026-03-02;1;
100000;2026-03-09;2;
100000;2026-03-16;1;
100000;2026-03-30;1;
100000;2026-04-06;1;Stage gaat lekker
100000;2026-04-20;1;
100000;2026-04-27;1;Tentamens zijn goed gegaan
100001;2026-03-23;1;
100001;2026-05-04;1;Lekker bezig deze week
100002;2026-03-02;1;Tentamens zijn goed gegaan
100002;2026-03-09;1;
100002;2026-03-30;1;
100002;2026-04-06;1;
100002;2026-04-27;1;Beetje beter
100003;2026-03-09;1;
100003;2026-03-23;1;
100003;2026-04-13;1;
100003;2026-04-20;2;
100003;2026-04-27;1;
100004;2026-03-09;1;
100004;2026-03-16;1;
100004;2026-03-30;1;
100004;2026-04-13;1;
100004;2026-04-27;1;
100005;2026-03-09;2;
100005;2026-03-16;2;
100005;2026-03-30;2;Druk met stage
100005;2026-04-20;1;Beetje beter
100005;2026-05-04;3;
100006;2026-03-02;2;
100006;2026-03-09;1;
100006;2026-03-23;1;Stage gaat lekker
100006;2026-04-06;1;
100006;2026-04-27;1;Lekker bezig deze week
100007;2026-03-02;1;
100007;2026-03-23;1;Beetje beter
100007;2026-04-06;1;
100007;2026-04-13;1;Het loopt
100007;2026-04-27;1;
100007;2026-05-04;1;
100008;2026-03-02;1;
100008;2026-03-23;1;
100008;2026-03-30;1;
100008;2026-05-04;1;
100009;2026-03-09;1;Goed weekend gehad
100009;2026-04-06;3;
100009;2026-04-13;2;
100009;2026-04-20;1;Beetje beter
100009;2026-04-27;1;
100010;2026-03-16;1;Tentamens zijn goed gegaan
100010;2026-04-13;1;
100010;2026-05-04;1;
100011;2026-03-02;1;Tentamens zijn goed gegaan
100011;2026-03-09;1;
100011;2026-03-23;1;
100011;2026-04-06;2;
100011;2026-04-13;1;
100011;2026-04-20;3;Veel privé gedoe
100011;2026-05-04;1;
100012;2026-03-23;1;
100012;2026-04-13;1;Lekker bezig deze week
100012;2026-04-27;1;
100012;2026-05-04;1;
100013;2026-03-02;1;
100013;2026-03-09;1;Lekker bezig deze week
100013;2026-03-23;2;Moeite met plannen
100013;2026-03-30;1;Goed weekend gehad
100013;2026-04-06;1;Lekker bezig deze week
100013;2026-04-13;1;Stage gaat lekker
100013;2026-04-27;2;Druk met stage
100014;2026-03-02;1;
100014;2026-03-16;1;
100014;2026-04-06;1;
100014;2026-04-20;1;
100014;2026-04-27;2;
100015;2026-03-02;2;
100015;2026-03-09;1;
100015;2026-03-16;1;
100015;2026-03-23;1;
100015;2026-04-06;1;Lekker bezig deze week
100015;2026-04-13;1;
100016;2026-03-09;1;
100016;2026-03-16;1;
100016;2026-03-23;1;
100016;2026-04-06;1;
100016;2026-04-13;1;
100016;2026-04-20;1;
100017;2026-03-02;2;
100017;2026-03-30;1;
100017;2026-04-27;1;Stage gaat lekker
100017;2026-05-04;3;Ik snap de leerstof niet
100018;2026-03-09;1;
100018;2026-03-23;1;
100018;2026-04-06;1;
100018;2026-04-20;1;
100018;2026-04-27;1;
100019;2026-03-23;1;Het loopt
100019;2026-03-30;3;Nog steeds moeilijk
100019;2026-04-06;1;
100020;2026-03-09;1;
100020;2026-03-23;1;Tentamens zijn goed gegaan
100020;2026-03-30;2;
100020;2026-04-06;1;Tentamens zijn goed gegaan
100022;2026-03-02;2;Slechte nachtrust
100022;2026-03-09;1;Lekker bezig deze week
100022;2026-04-06;1;
100023;2026-03-09;1;
100023;2026-04-20;1;
100023;2026-04-27;1;
100023;2026-05-04;1;
100024;2026-03-16;1;Goed weekend gehad
100024;2026-03-23;1;
100024;2026-03-30;1;
100024;2026-04-06;1;
100024;2026-04-20;1;
100025;2026-03-30;3;Ik weet niet meer of ik dit wil
100025;2026-04-06;1;Stage gaat lekker
100025;2026-04-13;2;Moeite met plannen
100025;2026-04-27;1;
100025;2026-05-04;1;
100026;2026-03-16;1;
100026;2026-04-13;1;
100026;2026-04-20;2;
100026;2026-05-04;1;Het loopt
100027;2026-03-09;3;
100027;2026-03-16;2;
100027;2026-03-30;1;
100027;2026-04-06;3;
100027;2026-04-20;2;
100027;2026-04-27;2;Beetje stress
100028;2026-03-02;1;
100028;2026-03-23;2;Privé dingen spelen
100028;2026-04-06;1;Het loopt
100028;2026-04-20;2;
100028;2026-04-27;1;
100029;2026-04-06;1;
100029;2026-04-13;1;
100029;2026-04-27;1;Stage gaat lekker
100030;2026-03-09;2;Niet helemaal lekker
100030;2026-03-23;2;
100030;2026-03-30;1;Het loopt
100030;2026-04-13;2;
100030;2026-04-27;2;
100030;2026-05-04;1;
100031;2026-03-02;1;Goed weekend gehad
100031;2026-03-30;2;
